ID,Claim Date,Insured Person,Card Number,Exam Date,List of Documents,Amount,Status,Receiver Banking Infor
f-0000000001,05-04-2024,c-0000001,3268714742,07-04-2024,[f-0000000001_3268714742_report.pdf],500.0,New,VIETCOMBANK-DUONG XUAN SANH-904385324125
f-0000000002,02-10-2019,c-0000001,3268714742,02-11-2019,[f-0000000002_3268714742_health.pdf],200.0,Done,SACOMBANK-DUONG XUAN SANH-34905832904583
f-0000000003,10-03-2024,c-0000002,1140196232,15-03-2024,[f-0000000003_1140196232_.pdf],300.0,Processing,TECHCOMBANK-DUONG VIET HOANG-901238579231
f-0000000004,25-03-2024,c-0000009,4815064308,30-03-2024,[f-0000000004_4815064308_driver_infor.pdf;f-0000000004_4815064308_location_infor.pdf],1500.0,New,MSBANK-DUONG HOANG VIET-12301923810294
f-0000000005,20-09-2019,c-0000014,8963572903,30-09-2019,[f-0000000005_8963572903_payment.pdf;f-0000000005_8963572903_Diagnosis.pdf;f-0000000005_8963572903_patient_info.pdf],500.0,Done,SACOMBANK-NGUYEN QUANG MINH-1231239108734
f-0000000006,23-10-2020,c-0000015,3249875849,25-10-2020,[f-0000000006_3249875849_.pdf],50.0,Done,MSBANK-DOAN THU TRANG-9045686723465
f-0000000007,20-10-2022,c-0000006,6728362155,22-10-2022,[f-0000000007_6728362155_trip_detail.pdf],10000.0,Done,VIETTINBANK-NGUYEN NHAT LONG-34735102342341
f-0000000008,01-04-2024,c-0000012,5615889493,03-04-2024,[f-0000000008_5615889493_report1.pdf;f-0000000008_5615889493_report2.pdf],100.0,Processing,HSBC-NGUYEN MINH KHUE-9919
f-0000000009,04-04-2024,c-0000007,2636384770,10-04-2024,[f-0000000009_2636384770_repair_estimates.pdf],350.0,New,TECHCOMBANK-NGUYEN NHAN THE-904395812311
f-0000000010,04-04-2024,c-0000009,4815064308,15-04-2024,[f-0000000010_4815064308_Diagnosis.pdf],350.0,New,MSBANK-DUONG HOANG VIET-12301923810294
f-0000000011,11-11-2018,c-0000009,4815064308,20-11-2018,[f-0000000011_4815064308_photo1.pdf;f-0000000011_4815064308_photo2.pdf],900.0,Done,MSBANK-DUONG HOANG VIET-12301923810294
f-0000000012,30-04-2023,c-0000010,3771982908,05-05-2023,[f-0000000012_3771982908_provider_info.pdf],2000.0,Done,TPBANK-NGUYEN MAI NGOC-27620148
f-0000000013,15-01-2024,c-0000008,0785306606,18-01-2024,[f-0000000013_0785306606_.pdf],50.0,Processing,BIDV-NGUYEN THAI SON-6236789693
f-0000000014,19-06-2023,c-0000009,4815064308,20-07-2023,[f-0000000014_4815064308_.pdf],670.0,Processing,MSBANK-DUONG HOANG VIET-12301923810294
f-0000000015,30-03-2024,c-0000009,4815064308,04-04-2024,[f-0000000015_4815064308_inventory_of_damaged_items.pdf],850.0,New,MSBANK-DUONG HOANG VIET -12301923810294
