ID	Claim Date	Insured Person	Card Number	Exam Date	List of Documents	Claim Amount	Status	Receiver Banking Info
f-0000000006	23-10-2020	Doan Thu Trang	3249875849	25-10-2020	f-0000000006_3249875849_accident_infor.pdf	50	Done	MSBBANK-DOAN THU TRANG-9045686723465
f-0000000013	14-01-2024	Nguyen Thai Son	0785306606	18-01-2924		50	Processing	BIDV-NGUYEN THAI SON-340659832
f-0000000002	02-10-2019	Duong Xuan Sanh	3268714742	02-11-2019	f-0000000002_3268714742_health_status.pdf	200	Done	VIETCOMBANK-DUONG XUAN SANH-793284102394
f-0000000009	04-04-2024	Nguyen Nhan The	2636384770	10-04-2024	f-0000000009_2636384770_repair_estimates.pdf	250	New	TECHCOMBANK-NGUYEN NHAN THE-634028137421051
f-0000000003	10-03-2024	Duong Viet Hoang	1140196232	15-03-2024	f-0000000003_1140196232_image1.pdf;f-0000000003_1140196232_image2.pdf	300	Processing	TECHCOMBANK-DUONG VIET HOANG-901238579231
f-0000000001	05-04-2024	Duong Xuan Sanh	3268714742	07-04-2024	f-0000000001_3268714742_report.pdf	500	New	VIETCOMBANK-DUONG XUAN SANH-793284102394
f-0000000005	20-09-2029	Nguyen Quang Minh	8963572903	30-09-2019	f-0000000005_8963572903_diagnosis.pdf	500	Done	SACOMBANK-NGUYEN QUANG MINH-1231239108734
f-0000000010	04-04-2024	Duong Hoang Viet	4815064308	15-04-2024	f-0000000010_4815064308_diagnosis.pdf	550	New	MSBBANK-DUONG HOANG VIET-12301923810294
f-0000000015	30-03-2024	Duong Hoang Viet	4815064308	04-04-2024	f-0000000015_4815064308_inventory_of_damaged_items.pdf	850	Processing	MSBBANK-DUONG HOANG VIET-12301923810294
f-0000000011	11-11-2018	Duong Hoang Viet	4815064308	20-11-2018	f-0000000011_4815064308_proof.pdf	980	Done	MSBBANK-DUONG HOANG VIET-12301923810294
f-0000000007	20-10-2022	Nguyen Nhat Long	6728362155	23-10-2022	f-0000000007_6728362155_trip_detail.pdf	1000	Done	VIETTINBANK-NGUYEN NHAT LONG-2348235975522
f-0000000014	19-06-2023	Duong Hoang Viet	4815064308	20-07-2023		1200	Processing	MSBBANK-DUONG HOANG VIET-12301923810294
f-0000000004	25-03-2024	Duong Hoang Viet	4815064308	30-03-2024		1500	New	MSBBANK-DUONG HOANG VIET-12301923810294
f-0000000012	30-04-2023	Nguyen Mai Ngoc	3771982908	30-04-2023	f-0000000012_3771982908_provider.pdf	2000	Done	TPBANK-NGUYEN MAI NGOC-2389472380957
f-0000000008	01-04-2024	Nguyen Minh Khue	5615889493	03-04-2024	f-0000000008_5615889493_report1.pdf	10000	Processing	HSBC-NGUYEN MINH KHUE-23478752934213
